3.39,174.46,366.29
3.39,174.64,366.56
3.39,174.83,366.82
3.39,174.92,366.95
3.39,175.1,367.22
3.4,175.28,367.48
3.4,175.46,367.75
3.4,175.65,368.01
3.4,175.83,368.28
3.4,176.01,368.54
3.4,176.19,368.81
3.4,176.28,368.93
3.4,176.47,369.20
3.4,176.65,369.46
3.4,176.83,369.73
3.41,177.01,369.99
3.41,177.19,370.26
3.41,177.38,370.52
3.41,177.47,370.65
3.41,177.65,370.92
3.41,177.83,371.18
3.41,178.01,371.45
3.41,178.2,371.71
3.41,178.38,371.98
3.41,178.56,372.24
3.42,178.74,372.51
3.42,178.83,372.63
3.42,179.02,372.90
3.42,179.2,373.16
3.42,179.38,373.43
3.42,179.56,373.69
3.42,179.75,373.96
3.42,179.93,374.22
3.42,180.11,374.49
3.42,180.21,374.63
3.43,180.4,374.91
3.43,180.6,375.20
3.43,180.8,375.48
3.43,181,375.76
3.43,181.19,376.05
3.43,181.39,376.33
3.43,181.58,376.62
3.43,181.68,376.77
3.43,181.88,377.05
3.43,182.08,377.34
3.44,182.27,377.62
3.44,182.47,377.91
3.44,182.67,378.19
3.44,182.86,378.48
3.44,183.06,378.76
3.44,183.16,378.90
3.44,183.36,379.18
3.44,183.55,379.47
3.44,183.75,379.75
3.44,183.94,380.04
3.45,184.04,380.17
3.45,184.24,380.46
3.45,184.44,380.74
3.45,184.63,381.03
3.45,184.73,381.17
3.45,184.93,381.46
3.45,185.12,381.74
3.45,185.32,382.03
3.45,185.42,382.16
3.45,185.62,382.45
3.46,185.81,382.73
3.46,186.01,383.02
3.46,186.11,383.17
3.46,186.3,383.45
3.46,186.5,383.74
3.46,186.6,383.87
3.46,186.8,384.16
3.46,186.99,384.44
3.46,187.19,384.73
3.46,187.28,384.85
3.47,187.47,385.11
3.47,187.66,385.36
3.47,187.85,385.62
3.47,187.94,385.76
3.47,188.13,386.01
3.47,188.31,386.27
3.47,188.41,386.39
3.47,188.59,386.65
3.47,188.78,386.91
3.47,188.97,387.17
3.48,189.06,387.30
3.48,189.25,387.56
3.48,189.44,387.82
3.48,189.62,388.08
3.48,189.72,388.20
3.48,189.9,388.46
3.48,190.09,388.71
3.48,190.28,388.97
3.48,190.37,389.11
3.48,190.56,389.35
3.49,190.75,389.61
3.49,190.93,389.87
3.49,191.03,390.00
3.49,191.22,390.26
3.49,191.4,390.52
3.49,191.59,390.77
3.49,191.68,390.90
3.49,191.87,391.15
3.49,192.06,391.41
3.49,192.24,391.67
3.5,192.43,391.93
3.5,192.53,392.06
3.5,192.71,392.32
3.5,192.9,392.58
3.5,193.09,392.83
3.5,193.18,392.96
3.5,193.37,393.21
3.5,193.56,393.47
3.5,193.74,393.73
3.5,193.93,393.99
3.51,194.01,394.08
3.51,194.17,394.29
3.51,194.34,394.49
3.51,194.5,394.68
3.51,194.58,394.79
3.51,194.74,394.98
3.51,194.91,395.18
3.51,195.07,395.37
3.51,195.15,395.48
3.51,195.31,395.67
3.52,195.48,395.87
3.52,195.64,396.08
3.52,195.8,396.26
3.52,195.88,396.37
3.52,196.05,396.56
3.52,196.21,396.77
3.52,196.37,396.96
3.52,196.45,397.06
3.52,196.62,397.25
3.52,196.78,397.46
3.53,196.94,397.66
3.53,197.02,397.76
3.53,197.19,397.96
3.53,197.35,398.15
3.53,197.51,398.35
3.53,197.59,398.45
3.53,197.76,398.65
3.53,197.92,398.84
3.53,198,398.95
3.53,198.16,399.14
3.54,198.33,399.34
3.54,198.41,399.44
3.54,198.57,399.64
3.54,198.73,399.84
3.54,198.9,400.03
3.54,198.98,400.13
3.54,199.14,400.33
3.54,199.3,400.54
3.54,199.39,400.63
3.54,199.55,400.83
3.55,199.72,401.04
3.55,199.89,401.25
3.55,199.98,401.36
3.55,200.15,401.58
3.55,200.33,401.80
3.55,200.41,401.89
3.55,200.59,402.11
3.55,200.76,402.33
3.55,200.94,402.54
3.55,201.02,402.65
3.56,201.2,402.87
3.56,201.37,403.08
3.56,201.46,403.19
3.56,201.63,403.41
3.56,201.8,403.63
3.56,201.89,403.74
3.56,202.07,403.94
3.56,202.24,404.16
3.56,202.41,404.37
3.56,202.5,404.48
3.57,202.68,404.70
3.57,202.85,404.92
3.57,202.94,405.02
3.57,203.11,405.24
3.57,203.28,405.46
3.57,203.46,405.66
3.57,203.54,405.77
3.57,203.72,405.99
3.57,203.89,406.20
3.57,203.98,406.31
3.58,204.15,406.53
3.58,204.33,406.75
3.58,204.42,406.85
3.58,204.59,407.07
3.58,204.76,407.29
3.58,204.94,407.50
3.58,205.02,407.60
3.58,205.2,407.82
3.58,205.37,408.03
3.58,205.46,408.14
3.59,205.63,408.36
3.59,205.78,408.52
3.59,205.91,408.63
3.59,205.97,408.68
3.59,206.09,408.81
3.59,206.22,408.91
3.59,206.28,408.97
3.59,206.41,409.08
3.59,206.53,409.19
3.59,206.65,409.29
3.6,206.72,409.35
3.6,206.84,409.47
3.6,206.97,409.58
3.6,207.03,409.63
3.6,207.15,409.74
3.6,207.28,409.85
3.6,207.34,409.90
3.6,207.46,410.01
3.6,207.59,410.13
3.6,207.71,410.24
3.61,207.78,410.30
3.61,207.9,410.41
3.61,208.03,410.51
3.61,208.09,410.57
3.61,208.21,410.68
3.61,208.28,410.75
3.61,208.4,410.85
3.61,208.52,410.96
3.61,208.59,411.02
3.61,208.71,411.12
3.62,208.84,411.23
3.62,208.9,411.29
3.62,209.02,411.41
3.62,209.09,411.46
3.62,209.21,411.57
3.62,209.33,411.68
3.62,209.4,411.73
3.62,209.52,411.84
3.62,209.65,411.95
3.62,209.71,412.02
3.63,209.83,412.13
3.63,209.9,412.18
3.63,210.02,412.29
3.63,210.14,412.39
3.63,210.19,412.43
3.63,210.31,412.51
3.63,210.37,412.56
3.63,210.48,412.64
3.63,210.6,412.74
3.63,210.65,412.78
3.64,210.77,412.86
3.64,210.88,412.96
3.64,210.94,413.00
3.64,211.06,413.09
3.64,211.12,413.13
3.64,211.23,413.23
3.64,211.35,413.31
3.64,211.4,413.35
3.64,211.52,413.44
3.64,211.63,413.52
3.65,211.69,413.58
3.65,211.81,413.66
3.65,211.86,413.70
3.65,211.98,413.80
3.65,212.1,413.89
3.65,212.15,413.93
3.65,212.27,414.01
3.65,212.38,414.11
3.65,212.5,414.19
3.65,212.56,414.24
3.66,212.67,414.32
3.66,212.79,414.42
3.66,212.84,414.46
3.66,212.96,414.55
3.66,213.08,414.64
3.66,213.13,414.68
3.66,213.25,414.77
3.66,213.36,414.85
3.66,213.48,414.95
3.66,213.54,414.99
3.67,213.65,415.08
3.67,213.77,415.17
3.67,213.82,415.21
3.67,213.94,415.30
3.67,214.05,415.37
3.67,214.1,415.40
3.67,214.2,415.46
3.67,214.31,415.53
3.67,214.41,415.60
3.67,214.47,415.63
3.68,214.57,415.69
3.68,214.68,415.76
3.68,214.73,415.79
3.68,214.84,415.86
3.68,214.94,415.92
3.68,214.99,415.96
3.68,215.1,416.03
3.68,215.2,416.09
3.68,215.31,416.15
3.68,215.36,416.20
3.69,215.47,416.26
3.69,215.57,416.32
3.69,215.63,416.36
3.69,215.73,416.43
3.69,215.84,416.49
3.69,215.89,416.52
3.69,215.99,416.59
3.69,216.1,416.66
3.69,216.15,416.68
3.69,216.26,416.75
3.7,216.31,416.78
3.7,216.42,416.85
3.7,216.52,416.91
3.7,216.57,416.95
3.7,216.68,417.02
3.7,216.79,417.08
3.7,216.84,417.12
3.7,216.94,417.19
3.7,217.05,417.25
3.7,217.1,417.28
3.71,217.21,417.35
3.71,217.26,417.37
3.71,217.36,417.44
3.71,217.47,417.51
3.71,217.51,417.51
3.71,217.58,417.51
3.71,217.65,417.51
3.71,217.68,417.51
3.71,217.75,417.51
3.71,217.79,417.50
3.72,217.86,417.50
3.72,217.93,417.50
3.72,217.96,417.50
3.72,218.03,417.50
3.72,218.1,417.50
3.72,218.14,417.50
3.72,218.21,417.50
3.72,218.28,417.50
3.72,218.31,417.50
3.72,218.38,417.48
3.73,218.42,417.48
3.73,218.49,417.48
3.73,218.56,417.48
3.73,218.59,417.48
3.73,218.66,417.48
3.73,218.73,417.48
3.73,218.77,417.48
3.73,218.84,417.48
3.73,218.87,417.48
3.73,218.94,417.47
3.74,219.01,417.47
3.74,219.05,417.47
3.74,219.12,417.47
3.74,219.15,417.47
3.74,219.22,417.47
3.74,219.29,417.47
3.74,219.33,417.47
3.74,219.4,417.47
3.74,219.47,417.47
3.74,219.5,417.47
3.75,219.57,417.46
3.75,219.61,417.46
3.75,219.68,417.46
3.75,219.75,417.46
3.75,219.78,417.46
3.75,219.85,417.44
3.75,219.88,417.44
3.75,219.94,417.43
3.75,220.01,417.40
3.75,220.04,417.40
3.76,220.1,417.37
3.76,220.13,417.37
3.76,220.19,417.36
3.76,220.25,417.33
3.76,220.28,417.33
3.76,220.35,417.31
3.76,220.41,417.29
3.76,220.44,417.29
3.76,220.5,417.27
3.76,220.53,417.27
3.77,220.59,417.24
3.77,220.65,417.23
3.77,220.69,417.23
3.77,220.75,417.20
3.77,220.78,417.20
3.77,220.84,417.19
3.77,220.9,417.16
3.77,220.93,417.16
3.77,220.99,417.13
3.77,221.06,417.12
3.78,221.09,417.12
3.78,221.15,417.09
3.78,221.21,417.08
3.78,221.24,417.06
3.78,221.3,417.05
3.78,221.37,417.04
3.78,221.4,417.02
3.78,221.46,417.01
3.78,221.52,417.00
3.78,221.55,416.98
3.79,221.61,416.97
3.79,221.67,416.95
3.79,221.71,416.94
3.79,221.77,416.93
3.79,221.83,416.91
3.79,221.86,416.90
3.79,221.88,416.82
3.79,221.91,416.72
3.79,221.92,416.68
3.79,221.95,416.60
3.8,221.97,416.52
3.8,221.98,416.47
3.8,222.01,416.39
3.8,222.03,416.30
